time,open,high,low,close,volume
2022-08-12 20:00:00,100.86,100.87,100.75,100.8,6448
2022-08-12 19:45:00,100.85,100.85,100.8,100.85,7925
2022-08-12 19:30:00,100.73,100.85,100.73,100.83,14351
2022-08-12 19:15:00,100.73,100.76,100.71,100.76,4456
2022-08-12 19:00:00,100.72,100.76,100.72,100.72,3789
2022-08-12 18:45:00,100.72,100.78,100.72,100.75,5778
2022-08-12 18:30:00,100.73,100.73,100.72,100.72,2798
2022-08-12 18:15:00,100.73,100.73,100.72,100.73,1735
2022-08-12 18:00:00,100.73,100.7467,100.71,100.73,3592
2022-08-12 17:45:00,100.75,100.75,100.7,100.7,11381
2022-08-12 17:30:00,100.7999,100.8,100.72,100.72,4336
2022-08-12 17:15:00,100.79,100.8184,100.754,100.754,6279
2022-08-12 17:00:00,100.82,100.82,100.7354,100.77,5694
2022-08-12 16:45:00,100.74,100.81,100.74,100.77,18107
2022-08-12 16:30:00,100.77,100.83,100.72,100.74,29161
2022-08-12 16:15:00,100.83,100.83,100.704,100.83,200554
2022-08-12 16:00:00,100.88,100.88,100.53,100.82,3296659
2022-08-12 15:45:00,100.965,101.08,100.795,100.8716,1746731
2022-08-12 15:30:00,100.86,101.0,100.75,100.9601,1569215
2022-08-12 15:15:00,100.94,100.97,100.66,100.8589,1837087
2022-08-12 15:00:00,101.0648,101.19,100.83,100.94,1624307
2022-08-12 14:45:00,100.839,101.16,100.8024,101.06,1604512
2022-08-12 14:30:00,100.865,100.97,100.61,100.835,1271635
2022-08-12 14:15:00,100.875,101.0099,100.66,100.8594,1443821
2022-08-12 14:00:00,100.73,100.94,100.51,100.8785,1256147
2022-08-12 13:45:00,100.73,100.865,100.48,100.73,1306642
2022-08-12 13:30:00,100.94,101.12,100.73,100.7416,1391657
2022-08-12 13:15:00,100.83,100.985,100.62,100.935,1699499
2022-08-12 13:00:00,100.91,100.95,100.67,100.8241,991233
2022-08-12 12:45:00,101.2,101.23,100.6676,100.915,2034340
2022-08-12 12:30:00,100.6299,101.2,100.6115,101.1957,2684541
2022-08-12 12:15:00,100.02,100.7,99.94,100.6201,2633423
2022-08-12 12:00:00,100.19,100.29,99.9,100.0175,2382122
2022-08-12 11:45:00,100.33,100.64,100.0936,100.2,2230047
2022-08-12 11:30:00,100.6699,100.84,100.31,100.33,2710247
2022-08-12 11:15:00,100.73,101.11,100.36,100.67,3461840
2022-08-12 11:00:00,100.4897,100.89,100.15,100.73,3501667
2022-08-12 10:45:00,101.35,101.38,100.46,100.4908,3652759
2022-08-12 10:30:00,100.6191,101.4,100.55,101.35,4564660
2022-08-12 10:15:00,100.61,100.8799,99.84,100.6,5443463
2022-08-12 10:00:00,100.35,100.76,99.28,100.6301,6808177
2022-08-12 09:45:00,99.2,100.38,98.48,100.35,6372632
2022-08-12 09:30:00,99.24,99.35,99.01,99.23,66118
2022-08-12 09:15:00,98.75,99.32,98.75,99.21,93438
2022-08-12 09:00:00,98.67,98.83,98.58,98.76,25107
2022-08-12 08:45:00,98.63,98.86,98.62,98.6531,29229
2022-08-12 08:30:00,98.66,98.75,98.55,98.68,22872
2022-08-12 08:15:00,98.4,98.6,98.2,98.6,45649
2022-08-12 08:00:00,98.49,98.53,98.41,98.52,5683
2022-08-12 07:45:00,98.43,98.58,98.43,98.5,8549
2022-08-12 07:30:00,98.32,98.4,98.25,98.4,41742
2022-08-12 07:15:00,98.33,98.43,98.2,98.35,14023
2022-08-12 07:00:00,98.12,98.35,98.12,98.35,2074
2022-08-12 06:45:00,98.35,98.46,98.12,98.12,2320
2022-08-12 06:30:00,98.39,98.39,98.28,98.28,8292
2022-08-12 06:15:00,98.65,98.65,98.38,98.4,3190
2022-08-12 06:00:00,98.56,98.69,98.56,98.68,1738
2022-08-12 05:45:00,98.59,98.59,98.58,98.59,977
2022-08-12 05:30:00,98.51,98.59,98.51,98.59,3020
2022-08-12 05:15:00,98.64,98.64,98.63,98.63,756
2022-08-12 05:00:00,98.81,98.81,98.7,98.7,1229
2022-08-12 04:45:00,98.84,98.84,98.8,98.8,1000
2022-08-12 04:30:00,98.68,98.85,98.68,98.84,5404
2022-08-12 04:15:00,98.5,98.84,98.12,98.84,11404
2022-08-11 20:00:00,98.16,98.16,98.12,98.14,11431
2022-08-11 19:45:00,98.15,98.15,98.12,98.15,1629
2022-08-11 19:30:00,98.13,98.1401,98.12,98.12,4345
2022-08-11 19:15:00,98.2,98.21,98.15,98.15,6991
2022-08-11 19:00:00,98.15,98.2,98.15,98.2,4478
2022-08-11 18:45:00,98.16,98.18,98.14,98.14,7004
2022-08-11 18:30:00,98.18,98.19,98.12,98.17,8159
2022-08-11 18:15:00,98.15,98.2,98.12,98.2,9834
2022-08-11 18:00:00,98.21,98.21,98.15,98.15,2864
2022-08-11 17:45:00,98.19,98.24,98.1868,98.21,5001
2022-08-11 17:30:00,98.2,98.23,98.19,98.19,3348
2022-08-11 17:15:00,98.2249,98.26,98.21,98.26,5752
2022-08-11 17:00:00,98.28,98.29,98.22,98.28,14041
2022-08-11 16:45:00,98.3,98.33,98.12,98.25,14017
2022-08-11 16:30:00,98.1573,98.32,98.15,98.3,168102
2022-08-11 16:15:00,98.12,98.25,98.03,98.18,243870
2022-08-11 16:00:00,98.16,98.53,98.0,98.11,3292516
2022-08-11 15:45:00,98.43,98.45,98.0999,98.155,1689409
2022-08-11 15:30:00,98.275,98.4901,98.16,98.43,1506727
2022-08-11 15:15:00,98.5499,98.62,98.075,98.27,2647881
2022-08-11 15:00:00,98.8301,98.85,98.205,98.55,2186875
2022-08-11 14:45:00,99.335,99.3691,98.68,98.83,2581835
2022-08-11 14:30:00,98.9,99.47,98.78,99.335,2048763
2022-08-11 14:15:00,99.48,99.48,98.83,98.9,2053439
2022-08-11 14:00:00,99.76,99.8,99.28,99.475,1524026
2022-08-11 13:45:00,99.69,99.8809,99.45,99.76,1677639
2022-08-11 13:30:00,99.58,99.965,99.51,99.7,2170586
2022-08-11 13:15:00,99.9,99.9599,99.335,99.59,1877421
2022-08-11 13:00:00,99.855,99.979,99.58,99.8991,1495582
2022-08-11 12:45:00,99.8391,100.13,99.81,99.855,1732391
2022-08-11 12:30:00,99.63,99.87,99.37,99.83,2384157
2022-08-11 12:15:00,99.889,100.16,99.48,99.6201,2342136
2022-08-11 12:00:00,100.67,100.69,99.58,99.8899,3141960
2022-08-11 11:45:00,100.4199,100.91,100.31,100.68,2705096
2022-08-11 11:30:00,100.6799,100.84,99.92,100.4,3366703
2022-08-11 11:15:00,101.9,101.95,100.36,100.68,4159077
2022-08-11 11:00:00,101.76,101.98,101.16,101.89,3481655
2022-08-11 10:45:00,101.69,102.3,101.29,101.75,3898199
2022-08-11 10:30:00,101.74,102.37,101.6,101.6801,4505080
2022-08-11 10:15:00,101.2907,101.78,101.24,101.736,4298588
2022-08-11 10:00:00,100.46,101.31,100.22,101.28,5037921
2022-08-11 09:45:00,99.93,100.7,99.12,100.45,6923745
2022-08-11 09:30:00,100.39,100.44,99.75,99.91,173426
2022-08-11 09:15:00,100.43,100.47,100.25,100.39,80938
2022-08-11 09:00:00,100.2,100.56,100.19,100.43,94111
2022-08-11 08:45:00,100.0,100.29,99.75,100.19,136376
2022-08-11 08:30:00,99.94,100.0,99.8126,100.0,54161
2022-08-11 08:15:00,99.3999,100.05,99.3,99.9103,79570
2022-08-11 08:00:00,99.51,99.53,99.4,99.47,6465
2022-08-11 07:45:00,99.43,99.56,99.4,99.42,11074
2022-08-11 07:30:00,99.38,99.39,99.3,99.39,8833
2022-08-11 07:15:00,99.3,99.45,99.26,99.4,15331
2022-08-11 07:00:00,99.43,99.43,99.33,99.33,787
2022-08-11 06:45:00,99.47,99.47,99.41,99.41,1975
2022-08-11 06:30:00,99.45,99.48,99.34,99.34,1113
2022-08-11 06:15:00,99.51,99.65,99.44,99.48,4583
2022-08-11 06:00:00,99.6,99.66,99.53,99.53,2080
2022-08-11 05:45:00,99.48,99.65,99.48,99.52,1563
2022-08-11 05:30:00,99.3,99.38,99.3,99.35,1383
2022-08-11 05:15:00,99.35,99.49,99.25,99.31,24863
2022-08-11 05:00:00,99.5,99.5,99.15,99.29,4579
2022-08-11 04:45:00,99.41,99.5,99.31,99.5,2344
2022-08-11 04:30:00,99.62,99.74,99.48,99.49,5893
2022-08-11 04:15:00,99.49,99.84,99.0,99.56,26284
2022-08-10 20:00:00,99.04,99.09,99.0,99.09,12262
2022-08-10 19:45:00,98.95,99.05,98.95,99.05,6224
2022-08-10 19:30:00,98.97,98.97,98.88,98.91,4301
2022-08-10 19:15:00,98.9399,98.98,98.9399,98.97,7757
2022-08-10 19:00:00,98.88,98.9,98.84,98.89,3160
2022-08-10 18:45:00,98.83,98.93,98.83,98.93,8531
2022-08-10 18:30:00,98.82,98.84,98.81,98.84,2086
2022-08-10 18:15:00,98.83,98.85,98.79,98.79,6580
2022-08-10 18:00:00,98.83,98.84,98.8,98.84,8446
2022-08-10 17:45:00,98.84,98.85,98.78,98.84,8286
2022-08-10 17:30:00,98.81,98.87,98.8,98.81,3502
2022-08-10 17:15:00,98.85,98.85,98.76,98.76,4871
2022-08-10 17:00:00,98.87,98.9,98.8,98.8,12341
2022-08-10 16:45:00,98.88,98.93,98.8,98.87,8950
2022-08-10 16:30:00,99.05,99.05,98.82,98.9,94611
2022-08-10 16:15:00,99.05,99.05,98.8,98.88,673606
2022-08-10 16:00:00,99.055,99.35,98.925,99.05,3616509
2022-08-10 15:45:00,99.01,99.06,98.665,99.0525,2625488
2022-08-10 15:30:00,98.5205,99.13,98.49,99.02,2604194
2022-08-10 15:15:00,98.638,98.67,98.3065,98.52,1548278
2022-08-10 15:00:00,98.8299,98.885,98.55,98.6301,1275524
2022-08-10 14:45:00,98.64,98.95,98.4872,98.83,1879045
2022-08-10 14:30:00,98.33,98.6599,98.27,98.63,1371070
2022-08-10 14:15:00,98.42,98.65,98.31,98.3106,1444267
2022-08-10 14:00:00,98.38,98.62,98.3313,98.41,1345958
2022-08-10 13:45:00,98.26,98.46,98.06,98.38,1681466
2022-08-10 13:30:00,98.28,98.415,98.2,98.26,1480381
2022-08-10 13:15:00,97.9,98.31,97.65,98.2731,1870310
2022-08-10 13:00:00,98.0122,98.13,97.72,97.89,1351052
2022-08-10 12:45:00,98.11,98.19,97.7685,98.015,1771686
2022-08-10 12:30:00,98.515,98.7,97.91,98.09,2884980
2022-08-10 12:15:00,98.46,98.7902,98.46,98.51,2466652
2022-08-10 12:00:00,98.41,98.629,98.07,98.47,3465488
2022-08-10 11:45:00,98.01,98.5,97.83,98.4,3431672
2022-08-10 11:30:00,97.59,98.05,97.43,98.02,3916237
2022-08-10 11:15:00,97.35,97.795,97.21,97.59,3775367
2022-08-10 11:00:00,96.716,97.43,96.66,97.34,3555385
2022-08-10 10:45:00,96.0702,96.93,95.73,96.71,4159702
