time,open,high,low,close,volume
2023-03-10 20:00:00,30.38,30.44,30.35,30.38,20496
2023-03-10 19:45:00,30.36,30.39,30.35,30.37,8584
2023-03-10 19:30:00,30.35,30.4,30.33,30.3999,9779
2023-03-10 19:15:00,30.36,30.4,30.36,30.36,12687
2023-03-10 19:00:00,30.38,30.43,30.32,30.36,24373
2023-03-10 18:45:00,30.44,30.44,30.35,30.42,23333
2023-03-10 18:30:00,30.33,30.44,30.33,30.42,29528
2023-03-10 18:15:00,30.37,30.37,30.31,30.35,20467
2023-03-10 18:00:00,30.37,30.4,30.32,30.38,27782
2023-03-10 17:45:00,30.3,30.37,30.3,30.36,32099
2023-03-10 17:30:00,30.42,30.42,30.3,30.3,58093
2023-03-10 17:15:00,30.45,30.47,30.27,30.42,149820
2023-03-10 17:00:00,30.27,30.5,30.27,30.46,406712
2023-03-10 16:45:00,30.27,30.31,30.23,30.27,107511
2023-03-10 16:30:00,30.27,30.27,30.24,30.27,17105
2023-03-10 16:15:00,30.27,30.3,30.23,30.26,853634
2023-03-10 16:00:00,30.205,30.3,30.11,30.29,9277444
2023-03-10 15:45:00,30.255,30.29,30.14,30.205,4657314
2023-03-10 15:30:00,30.295,30.32,30.09,30.25,4132404
2023-03-10 15:15:00,30.17,30.34,30.1,30.2918,4401501
2023-03-10 15:00:00,30.285,30.33,30.1,30.1696,5100146
2023-03-10 14:45:00,30.225,30.39,30.22,30.285,3380615
2023-03-10 14:30:00,30.175,30.335,30.14,30.225,4529410
2023-03-10 14:15:00,29.975,30.33,29.95,30.17,6579075
2023-03-10 14:00:00,30.07,30.0975,29.96,29.97,3225907
2023-03-10 13:45:00,30.055,30.15,29.99,30.065,3213971
2023-03-10 13:30:00,30.47,30.475,30.04,30.06,3240490
2023-03-10 13:15:00,30.555,30.67,30.47,30.4736,2481737
2023-03-10 13:00:00,30.505,30.68,30.49,30.555,3019634
2023-03-10 12:45:00,30.425,30.68,30.42,30.5,3343755
2023-03-10 12:30:00,30.46,30.54,30.315,30.425,2919463
2023-03-10 12:15:00,30.58,30.62,30.34,30.465,4076303
2023-03-10 12:00:00,30.73,30.735,30.495,30.575,4538714
2023-03-10 11:45:00,30.92,31.04,30.72,30.7206,6013384
2023-03-10 11:30:00,30.585,30.98,30.5207,30.9128,7553248
2023-03-10 11:15:00,30.315,30.63,30.28,30.585,6909642
2023-03-10 11:00:00,29.92,30.34,29.87,30.319,7398887
2023-03-10 10:45:00,30.2584,30.41,29.91,29.925,7750606
2023-03-10 10:30:00,30.07,30.485,29.98,30.2509,7087436
2023-03-10 10:15:00,29.985,30.245,29.8301,30.08,8329027
2023-03-10 10:00:00,29.245,30.0399,28.96,29.98,11806618
2023-03-10 09:45:00,30.32,30.35,28.92,29.25,20561545
2023-03-10 09:30:00,30.38,30.45,30.1701,30.28,261003
2023-03-10 09:15:00,30.73,30.73,30.37,30.38,254122
2023-03-10 09:00:00,30.45,30.81,30.44,30.72,315613
2023-03-10 08:45:00,30.5,30.58,30.37,30.44,210853
2023-03-10 08:30:00,30.43,30.49,30.3,30.42,86912
2023-03-10 08:15:00,30.5,30.58,30.32,30.4,180409
2023-03-10 08:00:00,30.5,30.52,30.37,30.41,60303
2023-03-10 07:45:00,30.49,30.52,30.47,30.5,22005
2023-03-10 07:30:00,30.5,30.56,30.42,30.42,13718
2023-03-10 07:15:00,30.45,30.58,30.41,30.45,42207
2023-03-10 07:00:00,30.37,30.56,30.37,30.4,9396
2023-03-10 06:45:00,30.3,30.37,30.3,30.37,4339
2023-03-10 06:30:00,30.34,30.35,30.26,30.34,3190
2023-03-10 06:15:00,30.29,30.36,30.26,30.36,9250
2023-03-10 06:00:00,30.32,30.33,30.3,30.3,1890
2023-03-10 05:45:00,30.35,30.35,30.34,30.34,4779
2023-03-10 05:30:00,30.34,30.34,30.34,30.34,101
2023-03-10 05:15:00,30.33,30.42,30.33,30.35,5658
2023-03-10 05:00:00,30.28,30.32,30.28,30.32,1756
2023-03-10 04:45:00,30.33,30.39,30.3,30.3,6215
2023-03-10 04:30:00,30.26,30.39,30.26,30.3,19049
2023-03-10 04:15:00,30.08,30.58,30.08,30.3,15998
2023-03-09 20:00:00,30.6,30.62,30.56,30.58,30706
2023-03-09 19:45:00,30.63,30.63,30.58,30.6,8555
2023-03-09 19:30:00,30.67,30.69,30.6,30.66,21806
2023-03-09 19:15:00,30.65,30.69,30.64,30.68,7748
2023-03-09 19:00:00,30.65,30.71,30.65,30.65,42944
2023-03-09 18:45:00,30.62,30.68,30.59,30.64,17125
2023-03-09 18:30:00,30.57,30.63,30.57,30.6,18428
2023-03-09 18:15:00,30.68,30.69,30.5601,30.5701,19088
2023-03-09 18:00:00,30.67,30.69,30.65,30.68,41933
2023-03-09 17:45:00,30.66,30.68,30.54,30.66,52800
2023-03-09 17:30:00,30.66,30.74,30.6,30.6,82033
2023-03-09 17:15:00,30.68,30.68,30.57,30.62,107444
2023-03-09 17:00:00,30.65,30.74,30.6,30.69,82247
2023-03-09 16:45:00,30.59,30.65,30.54,30.65,949655
2023-03-09 16:30:00,30.62,30.62,30.54,30.58,57448
2023-03-09 16:15:00,30.54,30.8727,30.54,30.63,2325909
2023-03-09 16:00:00,30.61,30.66,30.49,30.54,10464860
2023-03-09 15:45:00,30.425,30.635,30.4,30.61,4995965
2023-03-09 15:30:00,30.48,30.5,30.31,30.425,5944510
2023-03-09 15:15:00,30.59,30.62,30.44,30.48,2781927
2023-03-09 15:00:00,30.715,30.74,30.56,30.585,1942211
2023-03-09 14:45:00,30.805,30.81,30.7001,30.7192,1916429
2023-03-09 14:30:00,30.685,30.86,30.67,30.8,2912561
2023-03-09 14:15:00,30.58,30.69,30.53,30.6839,2797024
2023-03-09 14:00:00,30.62,30.62,30.43,30.58,3639022
2023-03-09 13:45:00,30.615,30.67,30.48,30.61,4226355
2023-03-09 13:30:00,30.62,30.71,30.56,30.615,3502785
2023-03-09 13:15:00,30.69,30.74,30.61,30.61,3841416
2023-03-09 13:00:00,30.9393,30.94,30.67,30.69,5518062
2023-03-09 12:45:00,31.06,31.07,30.86,30.93,4247205
2023-03-09 12:30:00,31.15,31.17,31.06,31.0699,2225869
2023-03-09 12:15:00,31.23,31.23,31.1,31.1506,2712070
2023-03-09 12:00:00,31.165,31.3,31.13,31.23,3805814
2023-03-09 11:45:00,31.3107,31.38,31.16,31.1662,5120449
2023-03-09 11:30:00,31.575,31.5763,31.3,31.3133,5143432
2023-03-09 11:15:00,31.72,31.745,31.5513,31.5724,4184400
2023-03-09 11:00:00,31.9,31.93,31.72,31.724,2975189
2023-03-09 10:45:00,31.9,31.97,31.86,31.895,1902843
2023-03-09 10:30:00,31.775,31.92,31.7,31.8992,3772374
2023-03-09 10:15:00,31.945,31.98,31.76,31.77,3910554
2023-03-09 10:00:00,32.115,32.17,31.91,31.95,4212771
2023-03-09 09:45:00,32.285,32.39,32.105,32.115,3162587
2023-03-09 09:30:00,32.2999,32.31,32.2,32.28,34528
2023-03-09 09:15:00,32.32,32.39,32.22,32.28,49664
2023-03-09 09:00:00,32.31,32.31,32.26,32.28,40727
2023-03-09 08:45:00,32.29,32.46,32.29,32.31,32099
2023-03-09 08:30:00,32.28,32.28,32.24,32.28,10660
2023-03-09 08:15:00,32.44,32.5,32.2,32.28,157495
2023-03-09 08:00:00,32.43,32.44,32.43,32.43,1698
2023-03-09 07:45:00,32.43,32.45,32.42,32.45,6278
2023-03-09 07:30:00,32.44,32.45,32.41,32.41,2814
2023-03-09 07:15:00,32.46,32.46,32.41,32.45,2654
2023-03-09 07:00:00,32.47,32.47,32.45,32.46,9823
2023-03-09 06:30:00,32.5,32.5,32.5,32.5,149
2023-03-09 05:15:00,32.46,32.46,32.46,32.46,443
2023-03-09 05:00:00,32.5,32.5,32.5,32.5,242
2023-03-09 04:45:00,32.54,32.54,32.54,32.54,108
2023-03-09 04:15:00,32.55,32.55,32.55,32.55,359
2023-03-08 20:00:00,32.51,32.52,32.46,32.46,7303
2023-03-08 19:45:00,32.56,32.56,32.47,32.47,21839
2023-03-08 19:30:00,32.57,32.57,32.56,32.56,1662
2023-03-08 19:15:00,32.57,32.59,32.57,32.59,1536
2023-03-08 19:00:00,32.62,32.62,32.58,32.59,5255
2023-03-08 18:45:00,32.6,32.6,32.59,32.6,1196
2023-03-08 18:30:00,32.6,32.6,32.58,32.58,1748
2023-03-08 18:15:00,32.63,32.63,32.59,32.6,2260
2023-03-08 18:00:00,32.61,32.63,32.61,32.63,909
2023-03-08 17:45:00,32.56,32.63,32.56,32.63,188299
2023-03-08 17:30:00,32.63,32.63,32.61,32.62,32785
2023-03-08 17:15:00,32.63,32.63,32.62,32.62,1774
2023-03-08 17:00:00,32.61,32.63,32.6,32.6,482213
2023-03-08 16:45:00,32.58,32.63,32.56,32.61,289824
2023-03-08 16:30:00,32.5501,32.57,32.55,32.57,6952
2023-03-08 16:15:00,32.56,32.56,32.52,32.55,527434
2023-03-08 16:00:00,32.545,32.62,32.51,32.56,3880412
2023-03-08 15:45:00,32.455,32.55,32.44,32.545,2591161
2023-03-08 15:30:00,32.49,32.5,32.44,32.4585,1221411
2023-03-08 15:15:00,32.52,32.54,32.47,32.495,967213
2023-03-08 15:00:00,32.535,32.56,32.51,32.525,708824
2023-03-08 14:45:00,32.555,32.58,32.53,32.54,1372257
2023-03-08 14:30:00,32.48,32.56,32.48,32.555,958605
2023-03-08 14:15:00,32.475,32.52,32.46,32.485,846943
2023-03-08 14:00:00,32.5,32.5175,32.46,32.475,815963
2023-03-08 13:45:00,32.495,32.5399,32.47,32.505,813361
