time,open,high,low,close,volume
2021-07-19 16:15:00,14.35,14.35,14.35,14.35,162
2021-07-19 16:00:00,14.26,14.27,14.26,14.27,200
2021-07-19 15:45:00,14.29,14.29,14.27,14.28,2086
2021-07-19 15:30:00,14.2471,14.2471,14.2471,14.2471,156
2021-07-19 15:15:00,14.24,14.25,14.24,14.25,911
2021-07-19 15:00:00,14.245,14.26,14.245,14.2595,648
2021-07-19 14:15:00,14.24,14.27,14.24,14.27,1193
2021-07-19 13:45:00,14.21,14.22,14.21,14.22,754
2021-07-19 13:30:00,14.22,14.22,14.22,14.22,200
2021-07-19 13:15:00,14.22,14.22,14.2163,14.2185,1263
2021-07-19 13:00:00,14.23,14.235,14.23,14.23,1013
2021-07-19 12:45:00,14.27,14.274,14.25,14.25,1960
2021-07-19 12:15:00,14.285,14.29,14.2773,14.2773,429
2021-07-19 12:00:00,14.34,14.34,14.335,14.335,6605
2021-07-19 11:45:00,14.27,14.33,14.27,14.3288,1114
2021-07-19 11:30:00,14.25,14.26,14.245,14.259,1398
2021-07-19 11:15:00,14.25,14.3,14.25,14.3,1702
2021-07-19 11:00:00,14.22,14.25,14.2,14.22,2402
2021-07-19 10:45:00,14.199,14.21,14.12,14.2,8698
2021-07-19 10:30:00,14.13,14.17,14.12,14.17,6388
2021-07-19 10:15:00,14.119,14.15,14.07,14.14,3019
2021-07-19 10:00:00,14.13,14.17,14.1,14.1001,7442
2021-07-19 09:45:00,14.13,14.13,14.031,14.125,32428
2021-07-19 09:30:00,14.05,14.05,14.05,14.05,375
2021-07-19 09:15:00,14.09,14.09,14.09,14.09,498
2021-07-19 09:00:00,14.08,14.08,14.06,14.06,1024
2021-07-19 08:45:00,14.1,14.1,14.1,14.1,143
2021-07-19 08:30:00,14.07,14.07,14.06,14.06,1000
2021-07-19 08:00:00,14.1,14.1,14.06,14.06,226
2021-07-19 07:45:00,14.17,14.17,14.09,14.09,4928
2021-07-19 07:30:00,14.17,14.17,14.17,14.17,516
2021-07-19 07:00:00,14.17,14.17,14.17,14.17,615
2021-07-19 06:00:00,14.17,14.17,14.17,14.17,113
2021-07-19 05:45:00,14.21,14.21,14.2,14.2,266
2021-07-19 05:30:00,14.16,14.17,14.16,14.16,1106
2021-07-19 05:00:00,14.38,14.38,14.37,14.37,295
2021-07-19 04:45:00,14.37,14.38,14.37,14.38,1125
2021-07-19 04:30:00,14.35,14.35,14.11,14.11,231
2021-07-16 17:45:00,14.35,14.35,14.35,14.35,169
2021-07-16 17:30:00,14.38,14.38,14.38,14.38,300
2021-07-16 17:15:00,14.38,14.38,14.38,14.38,300
2021-07-16 16:00:00,14.33,14.37,14.33,14.37,6157
2021-07-16 15:45:00,14.359,14.359,14.355,14.355,945
2021-07-16 15:30:00,14.3501,14.36,14.3501,14.36,1470
2021-07-16 15:15:00,14.38,14.38,14.35,14.3501,2738
2021-07-16 15:00:00,14.399,14.399,14.39,14.39,715
2021-07-16 14:45:00,14.4,14.4002,14.4,14.4002,677
2021-07-16 14:30:00,14.4001,14.4001,14.4001,14.4001,199
2021-07-16 14:15:00,14.409,14.409,14.409,14.409,101
2021-07-16 14:00:00,14.42,14.42,14.4,14.42,1005
2021-07-16 13:45:00,14.43,14.43,14.42,14.42,843
2021-07-16 13:30:00,14.4,14.4,14.4,14.4,272
2021-07-16 13:15:00,14.39,14.41,14.39,14.41,1404
2021-07-16 13:00:00,14.385,14.386,14.38,14.386,1388
2021-07-16 12:45:00,14.39,14.39,14.39,14.39,1743
2021-07-16 12:30:00,14.4,14.4,14.39,14.39,829
2021-07-16 12:15:00,14.38,14.38,14.38,14.38,1255
2021-07-16 12:00:00,14.38,14.39,14.38,14.381,703
2021-07-16 11:45:00,14.39,14.4,14.38,14.382,2518
2021-07-16 11:30:00,14.4,14.4,14.38,14.4,1137
2021-07-16 11:15:00,14.41,14.41,14.4,14.4,4223
2021-07-16 11:00:00,14.43,14.43,14.4,14.41,3026
2021-07-16 10:45:00,14.469,14.469,14.43,14.43,8701
2021-07-16 10:30:00,14.45,14.45,14.42,14.42,1092
2021-07-16 10:15:00,14.53,14.53,14.45,14.45,13272
2021-07-16 10:00:00,14.5513,14.5513,14.52,14.52,4634
2021-07-16 09:45:00,14.58,14.63,14.57,14.57,16593
2021-07-16 09:30:00,14.63,14.65,14.63,14.65,1048
2021-07-16 09:15:00,14.65,14.65,14.63,14.63,751
2021-07-16 09:00:00,14.63,14.63,14.63,14.63,247
2021-07-16 08:45:00,14.62,14.63,14.62,14.63,610
2021-07-16 08:30:00,14.63,14.63,14.63,14.63,626
2021-07-16 08:15:00,14.63,14.64,14.63,14.64,881
2021-07-16 06:45:00,14.64,14.69,14.64,14.69,610
2021-07-16 06:15:00,14.6,14.6,14.6,14.6,155
2021-07-16 05:30:00,14.7,14.7,14.7,14.7,179
2021-07-15 16:00:00,14.48,14.52,14.45,14.52,7077
2021-07-15 15:45:00,14.5,14.5,14.5,14.5,338
2021-07-15 15:30:00,14.485,14.485,14.484,14.484,721
2021-07-15 15:00:00,14.45,14.5,14.45,14.5,838
2021-07-15 14:45:00,14.45,14.45,14.45,14.45,322
2021-07-15 14:30:00,14.41,14.42,14.41,14.42,754
