time,open,high,low,close,volume
2023-03-10 20:00:00,87.3,87.3,87.3,87.3,599
2023-03-10 19:45:00,87.32,87.32,87.32,87.32,654
2023-03-10 18:45:00,87.43,87.4899,87.4,87.4899,590
2023-03-10 18:15:00,87.4,87.4,87.4,87.4,105
2023-03-10 18:00:00,87.46,87.46,87.46,87.46,118
2023-03-10 17:45:00,87.37,87.37,87.3,87.3,923
2023-03-10 17:00:00,87.25,87.26,87.25,87.26,570
2023-03-10 16:45:00,87.2,87.2,87.18,87.2,1644
2023-03-10 16:30:00,87.31,87.31,87.23,87.23,12845
2023-03-10 16:15:00,87.25,87.35,87.25,87.35,56371
2023-03-10 16:00:00,87.48,87.5,87.2,87.23,1692460
2023-03-10 15:45:00,87.68,87.71,87.385,87.48,433518
2023-03-10 15:30:00,87.54,87.72,87.37,87.68,342260
2023-03-10 15:15:00,87.55,87.7,87.395,87.54,409586
2023-03-10 15:00:00,87.37,87.72,87.36,87.55,379873
2023-03-10 14:45:00,87.27,87.54,87.27,87.35,298868
2023-03-10 14:30:00,87.51,87.55,87.22,87.28,240443
2023-03-10 14:15:00,87.315,87.77,87.31,87.5327,300208
2023-03-10 14:00:00,87.585,87.61,87.285,87.325,304373
2023-03-10 13:45:00,87.92,87.965,87.53,87.6,280772
2023-03-10 13:30:00,88.355,88.36,87.85,87.925,295937
2023-03-10 13:15:00,88.37,88.5,88.36,88.36,167481
2023-03-10 13:00:00,88.6,88.76,88.31,88.3716,175160
2023-03-10 12:45:00,88.4,88.82,88.38,88.6,261430
2023-03-10 12:30:00,88.26,88.44,88.23,88.4,166666
2023-03-10 12:15:00,88.48,88.64,88.08,88.24,191961
2023-03-10 12:00:00,88.95,88.95,88.44,88.49,237311
2023-03-10 11:45:00,88.85,89.17,88.85,88.92,427042
2023-03-10 11:30:00,88.4,88.87,88.29,88.855,241919
2023-03-10 11:15:00,88.755,88.83,88.405,88.42,240460
2023-03-10 11:00:00,88.16,88.8,88.14,88.76,322133
2023-03-10 10:45:00,88.08,88.56,88.07,88.19,499107
2023-03-10 10:30:00,88.12,88.22,87.77,88.09,319996
2023-03-10 10:15:00,87.78,88.42,87.77,88.145,841846
2023-03-10 10:00:00,87.675,87.96,87.32,87.78,587486
