time,open,high,low,close,volume
2022-12-09 20:00:00,178.55,178.59,178.0,178.5,38009
2022-12-09 19:45:00,178.55,178.59,178.55,178.55,8294
2022-12-09 19:30:00,178.6,178.6,178.55,178.57,20332
2022-12-09 19:15:00,178.62,178.64,178.55,178.61,9558
2022-12-09 19:00:00,178.54,178.61,178.51,178.6,12133
2022-12-09 18:45:00,178.54,178.54,178.5,178.5,13704
2022-12-09 18:30:00,178.55,178.5501,178.5,178.51,19298
2022-12-09 18:15:00,178.65,178.65,178.55,178.55,10915
2022-12-09 18:00:00,178.65,178.7,178.6,178.65,6973
2022-12-09 17:45:00,178.7,178.75,178.65,178.65,14808
2022-12-09 17:30:00,178.6901,178.7787,178.69,178.75,7195
2022-12-09 17:15:00,178.79,178.92,178.69,178.69,15321
2022-12-09 17:00:00,178.6999,179.05,178.65,178.79,17712
2022-12-09 16:45:00,178.841,178.85,178.65,178.66,28461
2022-12-09 16:30:00,179.05,179.05,178.69,178.77,108966
2022-12-09 16:15:00,179.05,179.06,178.62,178.9,443655
2022-12-09 16:00:00,179.495,179.74,178.62,179.03,4512414
2022-12-09 15:45:00,180.37,180.76,179.41,179.4935,2913601
2022-12-09 15:30:00,180.67,180.8,180.17,180.3701,2365989
2022-12-09 15:15:00,180.95,181.27,180.42,180.645,2360748
2022-12-09 15:00:00,180.61,181.165,180.4663,180.97,2109993
2022-12-09 14:45:00,181.33,181.64,180.42,180.61,2485935
2022-12-09 14:30:00,180.94,181.67,180.82,181.305,2569342
2022-12-09 14:15:00,180.43,180.96,179.9,180.9487,2294870
2022-12-09 14:00:00,180.3893,180.57,179.91,180.4401,1990808
2022-12-09 13:45:00,178.95,180.4,178.8,180.38,3303621
2022-12-09 13:30:00,179.19,179.99,178.52,178.9746,3312899
2022-12-09 13:15:00,180.53,180.53,179.09,179.1994,3649763
2022-12-09 13:00:00,181.8566,182.19,180.41,180.54,3021206
2022-12-09 12:45:00,182.05,182.5,181.5204,181.8412,2867191
2022-12-09 12:30:00,182.045,182.23,181.29,182.0599,2296606
2022-12-09 12:15:00,181.8,182.35,181.66,182.045,2470488
2022-12-09 12:00:00,181.05,181.96,180.95,181.78,2499500
2022-12-09 11:45:00,181.27,181.39,180.25,181.0126,2617264
2022-12-09 11:30:00,180.75,181.56,180.17,181.2984,3519140
2022-12-09 11:15:00,182.1225,182.42,173.79,180.75,4629435
2022-12-09 11:00:00,180.5,182.23,179.85,182.11,5193384
2022-12-09 10:45:00,179.26,180.75,179.24,180.5,6189086
2022-12-09 10:30:00,178.5439,179.36,177.6,179.26,5024011
2022-12-09 10:15:00,178.1692,179.31,176.76,178.541,7325845
2022-12-09 10:00:00,179.045,179.37,176.51,177.995,7828116
2022-12-09 09:45:00,173.84,179.13,173.36,179.07,9953751
2022-12-09 09:30:00,172.58,174.25,172.54,173.89,247738
2022-12-09 09:15:00,173.6,173.66,172.3,172.63,246042
2022-12-09 09:00:00,173.0,174.0,172.8,173.6,313390
2022-12-09 08:45:00,176.05,176.25,172.33,173.0,889050
2022-12-09 08:30:00,175.75,176.2,175.51,176.1,123824
2022-12-09 08:15:00,174.3972,176.98,173.007,175.68,385383
2022-12-09 08:00:00,176.35,176.4,175.9,176.11,60145
2022-12-09 07:45:00,176.05,176.97,175.93,176.35,124396
2022-12-09 07:30:00,175.14,176.17,175.1,176.14,80158
2022-12-09 07:15:00,174.12,175.4,174.12,175.2,98177
2022-12-09 07:00:00,174.22,174.3,174.2,174.24,5485
2022-12-09 06:45:00,174.32,174.35,174.0,174.13,8374
2022-12-09 06:30:00,174.16,174.4,174.11,174.3,12398
2022-12-09 06:15:00,174.19,174.25,173.8,174.18,14126
2022-12-09 06:00:00,173.9,174.25,173.2,174.18,21093
2022-12-09 05:45:00,173.85,173.95,173.8,173.9,5302
2022-12-09 05:30:00,173.66,174.29,173.65,173.85,23238
2022-12-09 05:15:00,172.77,173.68,172.77,173.68,21467
2022-12-09 05:00:00,172.6,173.32,172.5,173.0,23475
2022-12-09 04:45:00,173.14,173.21,172.5,172.62,40812
2022-12-09 04:30:00,174.0,174.15,173.11,173.17,42073
2022-12-09 04:15:00,174.92,174.92,173.6,174.0,76509
2022-12-08 20:00:00,173.39,173.48,173.38,173.45,27783
2022-12-08 19:45:00,173.45,173.5,173.33,173.43,37022
2022-12-08 19:30:00,173.51,173.6,173.45,173.48,10587
2022-12-08 19:15:00,173.51,173.64,173.45,173.55,13620
2022-12-08 19:00:00,173.33,173.69,173.25,173.69,25441
