time,open,high,low,close,volume
2021-03-29 04:15:00,77.2,77.2,76.63,76.98,3628
2021-03-29 04:45:00,76.98,76.98,76.98,76.98,576
2021-03-29 05:00:00,76.98,76.98,76.98,76.98,287
2021-03-29 05:15:00,77.05,77.05,77.05,77.05,800
2021-03-29 05:30:00,77.0,77.1,77.0,77.1,884
2021-03-29 05:45:00,77.2,77.4,77.2,77.4,2093
2021-03-29 06:00:00,77.41,77.41,77.41,77.41,921
2021-03-29 06:15:00,77.39,77.39,77.39,77.39,400
2021-03-29 06:45:00,77.26,77.49,77.26,77.49,1684
2021-03-29 07:00:00,77.5,77.5,77.4,77.5,1945
2021-03-29 07:15:00,77.5,77.58,77.39,77.55,10550
2021-03-29 07:30:00,77.55,77.58,77.42,77.54,11162
2021-03-29 07:45:00,77.53,77.56,77.39,77.51,16506
2021-03-29 08:00:00,77.49,77.59,77.42,77.5,11628
2021-03-29 08:15:00,77.52,77.6,77.39,77.48,28757
2021-03-29 08:30:00,77.47,77.5,77.37,77.38,10882
2021-03-29 08:45:00,77.37,77.37,77.25,77.26,9459
2021-03-29 09:00:00,77.25,77.25,77.03,77.05,13141
2021-03-29 09:15:00,77.03,77.05,76.9501,76.9501,21928
2021-03-29 09:30:00,76.99,77.2599,76.99,77.0,24412
2021-03-29 09:45:00,77.03,77.79,76.26,77.31,3590651
2021-03-29 10:00:00,77.32,78.02,76.84,77.0133,2752739
2021-03-29 10:15:00,77.01,77.25,76.72,77.12,1758165
2021-03-29 10:30:00,77.1,77.43,76.8201,77.08,1675214
2021-03-29 10:45:00,77.07,77.54,76.98,77.47,1436925
2021-03-29 11:00:00,77.46,77.58,77.01,77.07,1507074
2021-03-29 11:15:00,77.065,77.41,76.79,77.11,1423633
2021-03-29 11:30:00,77.11,77.11,76.55,76.79,1340486
2021-03-29 11:45:00,76.8,76.88,76.57,76.78,1083288
2021-03-29 12:00:00,76.76,77.19,76.55,76.89,1007285
2021-03-29 12:15:00,76.88,76.96,76.555,76.67,957777
2021-03-29 12:30:00,76.67,77.03,76.64,76.972,801729
2021-03-29 12:45:00,76.975,77.4697,76.87,77.37,1066152
