time,open,high,low,close,volume
2022-08-18 19:30:00,303.85,303.85,303.85,303.85,100
2022-08-18 18:30:00,304.25,304.25,304.25,304.25,100
2022-08-18 16:45:00,304.1001,304.1001,303.8649,303.8649,1773
2022-08-18 16:30:00,304.27,304.5,304.1,304.35,813
2022-08-18 16:15:00,304.3,304.3,304.1,304.27,104031
2022-08-18 16:00:00,304.41,304.52,303.96,304.32,308741
2022-08-18 15:45:00,304.25,304.46,304.18,304.45,98362
2022-08-18 15:30:00,304.01,304.31,303.855,304.24,232378
2022-08-18 15:15:00,303.63,304.0,303.58,304.0,63969
2022-08-18 15:00:00,303.41,303.7,303.23,303.63,43782
2022-08-18 14:45:00,303.66,303.68,303.22,303.44,42908
2022-08-18 14:30:00,303.35,303.69,303.35,303.65,41012
2022-08-18 14:15:00,303.0,303.42,302.88,303.3296,35696
2022-08-18 14:00:00,303.209,303.2158,302.79,303.021,199152
2022-08-18 13:45:00,303.04,303.24,302.91,303.18,39630
2022-08-18 13:30:00,302.96,303.07,302.79,302.98,55238
2022-08-18 13:15:00,302.93,303.18,302.8863,302.96,49256
2022-08-18 13:00:00,302.56,303.09,302.545,302.94,38456
2022-08-18 12:45:00,302.945,303.0,302.55,302.58,43231
2022-08-18 12:30:00,303.27,303.53,302.83,302.9664,61643
2022-08-18 12:15:00,302.81,303.28,302.81,303.28,46785
2022-08-18 12:00:00,302.935,303.2199,302.83,303.02,65526
2022-08-18 11:45:00,302.53,302.98,302.48,302.92,65417
2022-08-18 11:30:00,301.74,302.6,301.73,302.53,64879
2022-08-18 11:15:00,302.11,302.15,301.55,301.78,78294
2022-08-18 11:00:00,302.09,302.71,302.06,302.12,69509
2022-08-18 10:45:00,302.55,302.69,301.555,302.06,176008
2022-08-18 10:30:00,302.805,302.89,302.5,302.52,83603
2022-08-18 10:15:00,303.65,303.65,302.64,302.8,85962
2022-08-18 10:00:00,304.43,304.43,303.6,303.65,102126
2022-08-18 09:45:00,304.44,304.55,303.69,304.43,198444
2022-08-18 09:30:00,304.48,304.69,304.48,304.69,201
2022-08-18 09:15:00,304.76,304.76,304.33,304.33,752
2022-08-18 09:00:00,305.03,305.03,305.03,305.03,177
2022-08-18 08:45:00,305.0069,305.0069,305.0069,305.0069,174
2022-08-18 08:30:00,305.03,305.03,305.03,305.03,101
2022-08-18 08:15:00,304.82,304.82,304.82,304.82,1036
2022-08-18 08:00:00,304.8,304.8,304.8,304.8,550
2022-08-17 19:15:00,303.94,303.94,303.94,303.94,344
2022-08-17 18:30:00,304.39,304.49,304.39,304.49,500
2022-08-17 17:45:00,304.27,304.27,304.26,304.26,439
2022-08-17 17:00:00,304.27,304.27,304.27,304.27,105
2022-08-17 16:30:00,304.11,304.26,304.0,304.26,1994
2022-08-17 16:15:00,304.26,304.3,304.01,304.26,89793
2022-08-17 16:00:00,304.5951,304.6,303.7,304.26,337186
2022-08-17 15:45:00,304.685,304.74,304.43,304.6,115488
2022-08-17 15:30:00,304.85,305.11,304.49,304.72,104425
2022-08-17 15:15:00,305.4,305.79,304.53,304.79,89731
